trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.3, 'e': 0.16529888822158653}",20,9,-35.34809228523668,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.3, 'e': 0.16202575093388075}",25,16,8.150633909629638,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.15881742610692068}",20,16,6.223341685092023,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.1556726303679973}",30,24,12.550656642092607,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.15259010575688386}",25,7,8.63481982752343,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.14956861922263504}",25,0,16.170801443465624,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.3, 'e': 0.14660696213035015}",35,24,-12.450375534027007,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.14370394977770293}",20,8,24.399093580267007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.140858420921045}",20,10,-7.14309798993277,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.13806923731089282}",30,19,9.996106493943488,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.1353352832366127}",20,10,17.853997558136015,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.13265546508012172}",20,11,6.109781474780616,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.1300287108784259}",20,14,-11.631731838205061,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.12745396989482075}",20,8,8.338478563547294,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.12493021219858241}",20,15,9.690973594458608,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.1224564282529819}",25,8,28.011910136844463,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.12003162851145673}",20,0,21.027022233421057,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.3, 'e': 0.11765484302177918}",20,5,9.645527149406647,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.11532512103806251}",35,13,26.897318607569613,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.11304153064044985}",25,2,15.811795021022913,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.11080315836233387}",20,10,19.43000727270088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.10860910882495796}",25,0,-5.491724243180542,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
112,False,"{'a': 0.3, 'e': 0.1064585043792528}",25,14,10.675191978340742,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.104350484754765}",30,13,31.155254578031833,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.10228420671553744}",20,14,11.581009446630155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.1002588437228037}",20,15,9.408327333802703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.09827358560436154}",30,19,18.322713584445875,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.09632763823049303}",20,11,15.38521002903339,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.09442022319630235}",25,0,25.48985701067672,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.09255057751034329}",25,20,8.73379988493492,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.09071795328941251}",35,27,15.47174987166831,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.08892161745938634}",20,13,11.120087447919296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.0871608514619813}",30,19,20.404910976886722,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.08543495096732123}",30,4,1.8738151513901482,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.3, 'e': 0.08374322559219596}",20,15,2.696752242712708,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.0820849986238988}",25,3,36.746608426211125,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.08045960674953244}",20,11,17.27533882612136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.07886639979067495}",25,11,25.907101082451476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.07730474044329974}",25,8,22.89802145926314,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.07577400402284548}",20,6,23.476887868714815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.07427357821433388}",20,11,16.348630117243502,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.07280286282743559}",25,11,15.401024753396998,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.07136126955638605}",20,14,11.900781112405461,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.06994822174465536}",30,19,11.754673949724435,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.06856315415427791}",20,6,14.798367750278842,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.06720551273974976}",20,16,7.317790112881883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.06587475442640295}",20,0,33.027073510754896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.3, 'e': 0.06457034689316847}",20,9,19.515941104167016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.0632917683596407}",20,12,14.668121822959193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.06203850737735829}",25,18,11.65480322822723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.06081006262521795}",30,13,25.907414169648217,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.05960594270893937}",25,0,17.13221844328793,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.3, 'e': 0.05842566596450083}",20,8,21.16506990852537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.05726876026546736}",20,0,28.509997850797934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.056134762834133725}",30,17,11.864674498797026,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.05502322005640723}",20,15,7.4565238853896325,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.05393368730035602}",20,16,7.712535932857987,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.05286572873835037}",20,8,19.38702812602088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.05181891717272583}",20,3,29.24368960844148,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.0507928338648985}",20,11,15.101291766584524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.049787068367863944}",30,4,-7.379019302120632,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
